nm	Absorbancia
568.39	-0.001
568.74	-0.001
569.08	0.002
569.42	-0.010
569.77	-0.007
570.11	-0.010
570.45	-0.006
570.79	-0.007
571.14	0.008
571.48	-0.009
571.82	-0.001
572.17	-0.007
572.51	-0.000
572.85	-0.002
573.20	0.000
573.54	0.007
573.88	0.003
574.22	-0.004
574.57	-0.001
574.91	-0.000
575.25	-0.004
575.59	0.002
575.94	-0.001
576.28	0.008
576.62	0.004
576.96	0.004
577.31	0.001
577.65	0.009
577.99	0.006
578.33	0.001
578.68	-0.000
579.02	0.001
579.36	0.001
579.70	-0.001
580.04	-0.003
580.39	0.011
580.73	0.001
581.07	-0.003
581.41	0.002
581.75	-0.001
582.09	-0.001
582.44	0.005
582.78	0.005
583.12	0.007
583.46	-0.001
583.80	0.000
584.14	0.008
584.48	0.002
584.83	0.001
585.17	0.009
585.51	0.006
585.85	0.004
586.19	0.000
586.53	-0.001
586.87	-0.002
587.21	-0.001
587.55	-0.003
587.90	-0.008
588.24	-0.002
588.58	-0.001
588.92	-0.005
589.26	0.006
589.60	-0.004
589.94	-0.007
590.28	-0.001
590.62	-0.007
590.96	0.005
591.30	-0.011
591.64	-0.005
591.98	-0.002
592.32	-0.007
592.66	0.003
593.00	0.000
593.34	-0.000
593.68	-0.001
594.02	0.003
594.36	0.002
594.70	-0.002
595.04	-0.002
595.38	0.002
595.72	-0.000
596.06	-0.003
596.40	0.006
596.74	-0.002
597.08	-0.002
597.42	0.001
597.76	-0.006
598.10	-0.001
598.44	0.004
598.78	0.003
599.12	-0.002
599.46	-0.004
599.80	-0.001
600.14	-0.005
600.48	-0.002
600.82	-0.005
601.16	-0.000
601.50	-0.002
601.83	0.004
602.17	-0.004
602.51	0.002
602.85	-0.000
603.19	0.005
603.53	0.000
603.87	0.002
604.21	-0.008
604.55	0.010
604.88	-0.001
605.22	0.002
605.56	-0.004
605.90	-0.004
606.24	0.004
606.58	-0.004
606.91	-0.002
607.25	-0.004
607.59	-0.007
607.93	-0.007
608.27	-0.007
608.61	-0.004
608.94	-0.003
609.28	-0.006
609.62	-0.001
609.96	0.003
610.30	-0.008
610.63	-0.009
610.97	-0.007
611.31	-0.001
611.65	0.005
611.98	0.004
612.32	-0.001
612.66	-0.003
613.00	0.002
613.33	0.001
613.67	0.009
614.01	-0.001
614.35	0.004
614.68	-0.006
615.02	-0.004
615.36	-0.000
615.70	-0.013
616.03	-0.010
616.37	-0.017
